 ,Label,Area,%Area,MinThr,MaxThr
1,15-1_orbital_shaker_CTRL_1-2_square.tif,106319.040,0.000,0,0
2,tissue,53486.160,100.000,0,207
3,sirius_red,11567.640,10.880,0,159
