 ,Label,Area,%Area,MinThr,MaxThr
1,15-1_orbital_shaker_CTRL_1-2_square.tif,106319.040,0.000,0,0
2,tissue,53486.160,100.000,0,207
3,sirius_red,11567.640,10.880,0,159
4,15-1_orbital_shaker_CTRL_1-3_square.tif,106319.040,0.000,0,0
5,tissue,58272.932,100.000,0,209
6,sirius_red,6826.940,6.767,0,160
7,15-1_orbital_shaker_CTRL_2-5_square.tif,106319.040,0.000,0,0
8,tissue,58550.546,100.000,0,211
9,sirius_red,5138.811,4.833,0,162
